name,type,path
Jekyll::Slides::Presentation,Class,Jekyll/Slides/Presentation.md
Jekyll::Slides::Presentation.initialize,Method,Jekyll/Slides/Presentation.md#method-i-initialize
Jekyll::Slides::Presentation.render,Method,Jekyll/Slides/Presentation.md#method-i-render
Jekyll::Slides::RangeParser,Class,Jekyll/Slides/RangeParser.md
Jekyll::Slides::RangeParser.MAX_RANGE_SIZE,Constant,Jekyll/Slides/RangeParser.md#constant-MAX_RANGE_SIZE
Jekyll::Slides::RangeParser.initialize,Method,Jekyll/Slides/RangeParser.md#method-i-initialize
Jekyll::Slides::RangeParser.parse,Method,Jekyll/Slides/RangeParser.md#method-i-parse
Jekyll::Slides::RangeParser.parse,Method,Jekyll/Slides/RangeParser.md#method-c-parse
Jekyll::Slides::RougeRenderer,Class,Jekyll/Slides/RougeRenderer.md
Jekyll::Slides::RougeRenderer.initialize,Method,Jekyll/Slides/RougeRenderer.md#method-i-initialize
Jekyll::Slides::RougeRenderer.render,Method,Jekyll/Slides/RougeRenderer.md#method-i-render
Jekyll::Slides::RougeRenderer.render_lines,Method,Jekyll/Slides/RougeRenderer.md#method-i-render_lines
Jekyll::Slides::SlideMetadata,Class,Jekyll/Slides/SlideMetadata.md
Jekyll::Slides::SlideMetadata.LAYOUTS,Constant,Jekyll/Slides/SlideMetadata.md#constant-LAYOUTS
Jekyll::Slides::SlideMetadata.BACKGROUNDS,Constant,Jekyll/Slides/SlideMetadata.md#constant-BACKGROUNDS
Jekyll::Slides::SlideMetadata.KEYS,Constant,Jekyll/Slides/SlideMetadata.md#constant-KEYS
Jekyll::Slides::SlideMetadata.initialize,Method,Jekyll/Slides/SlideMetadata.md#method-i-initialize
Jekyll::Slides::SlideMetadata.parse,Method,Jekyll/Slides/SlideMetadata.md#method-i-parse
Jekyll::Slides::SlideMetadata.parse,Method,Jekyll/Slides/SlideMetadata.md#method-c-parse
Jekyll::Slides::SlideMetadata.split_comment,Method,Jekyll/Slides/SlideMetadata.md#method-c-split_comment
Jekyll::Slides::SlideMetadata.background,Attribute,Jekyll/Slides/SlideMetadata.md#attribute-i-background
Jekyll::Slides::SlideMetadata.content,Attribute,Jekyll/Slides/SlideMetadata.md#attribute-i-content
Jekyll::Slides::SlideMetadata.custom_class,Attribute,Jekyll/Slides/SlideMetadata.md#attribute-i-custom_class
Jekyll::Slides::SlideMetadata.layout,Attribute,Jekyll/Slides/SlideMetadata.md#attribute-i-layout
Jekyll::Slides::SlideMetadata.values,Attribute,Jekyll/Slides/SlideMetadata.md#attribute-i-values
Jekyll::Slides::SlideRenderer,Class,Jekyll/Slides/SlideRenderer.md
Jekyll::Slides::SlideRenderer.initialize,Method,Jekyll/Slides/SlideRenderer.md#method-i-initialize
Jekyll::Slides::SlideRenderer.render,Method,Jekyll/Slides/SlideRenderer.md#method-i-render
Jekyll::Slides::ComponentRenderer,Class,Jekyll/Slides/ComponentRenderer.md
Jekyll::Slides::ComponentRenderer.FRAGMENT_PATTERN,Constant,Jekyll/Slides/ComponentRenderer.md#constant-FRAGMENT_PATTERN
Jekyll::Slides::ComponentRenderer.SIZES,Constant,Jekyll/Slides/ComponentRenderer.md#constant-SIZES
Jekyll::Slides::ComponentRenderer.LONG_CODE_LINE_THRESHOLD,Constant,Jekyll/Slides/ComponentRenderer.md#constant-LONG_CODE_LINE_THRESHOLD
Jekyll::Slides::ComponentRenderer.initialize,Method,Jekyll/Slides/ComponentRenderer.md#method-i-initialize
Jekyll::Slides::ComponentRenderer.render,Method,Jekyll/Slides/ComponentRenderer.md#method-i-render
Jekyll::Slides::ComponentRenderer.render_document,Method,Jekyll/Slides/ComponentRenderer.md#method-i-render_document
Jekyll::Slides::ComponentRenderer.render_fragments,Method,Jekyll/Slides/ComponentRenderer.md#method-i-render_fragments
Jekyll::Slides::ComponentRenderer.render,Method,Jekyll/Slides/ComponentRenderer.md#method-c-render
Jekyll::Slides::ComponentRenderer::RenderedDocument,Class,Jekyll/Slides/ComponentRenderer/RenderedDocument.md
Jekyll::Slides::ComponentRenderer::RenderedDocument.components,Attribute,Jekyll/Slides/ComponentRenderer/RenderedDocument.md#attribute-i-components
Jekyll::Slides::ComponentRenderer::RenderedDocument.fragments,Attribute,Jekyll/Slides/ComponentRenderer/RenderedDocument.md#attribute-i-fragments
Jekyll::Slides::PresentationParser,Class,Jekyll/Slides/PresentationParser.md
Jekyll::Slides::PresentationParser.initialize,Method,Jekyll/Slides/PresentationParser.md#method-i-initialize
Jekyll::Slides::PresentationParser.parse,Method,Jekyll/Slides/PresentationParser.md#method-i-parse
Jekyll::Slides::PresentationParser.parse,Method,Jekyll/Slides/PresentationParser.md#method-c-parse
